term,definition
抽样偏差,请参阅 选择性偏差 。
放回抽样,"一种从一组候选商品中选择商品的方法，其中同一商品可多次被选中。“有放回”是指每次选择后，所选项目都会返回到候选项目池中。相反的方法是 不放回抽样 ，这意味着候选商品只能被选中一次。

例如，假设有以下水果集：

假设系统随机选择 fig 作为第一个商品。如果采用放回抽样，系统会从以下集合中选择第二个项：

是的，这与之前的设置相同，因此系统可能会再次选择 fig 。

如果使用不放回抽样，一旦选中某个样本，就无法再次选中该样本。例如，如果系统随机选择 fig 作为第一个样本，则不能再次选择 fig 。因此，系统会从以下（缩减的）集合中选择第二个样本："
SavedModel,"保存和恢复 TensorFlow 模型时建议使用的格式。SavedModel 是一种独立于语言且可恢复的序列化格式，使较高级别的系统和工具可以创建、使用和转换 TensorFlow 模型。

如需完整的详细信息，请参阅《TensorFlow 编程人员指南》中的 保存和恢复部分 。"
实惠,一种 TensorFlow 对象 ，负责保存模型检查点。
标量,可表示为 秩 为 0 的 张量 的单个数字或单个字符串。例如，以下每行代码都会在 TensorFlow 中创建一个标量：
扩缩,"任何可改变标签、特征值或两者范围的数学转换或技术。某些形式的缩放对于 归一化 等转换非常有用。

机器学习中常用的缩放形式包括：

线性缩放，通常使用减法和除法的组合将原始值替换为介于 -1 和 +1 之间或 0 和 1 之间的数字。 对数缩放，即将原始值替换为其对数。 Z-score 归一化 ，它会将原始值替换为表示与相应特征平均值的标准差数量的浮点值。"
scikit-learn,一种热门的开源机器学习平台。请访问 scikit-learn.org 。
评分,推荐系统 的一部分，用于为 候选生成 阶段生成的每个商品提供价值或排名。
选择性偏差,"由于在选择过程中在数据中观察到的样本和未观察到的样本之间产生系统差异，因此根据采样数据得出的结论存在误差。存在以下形式的选择偏差：

覆盖偏差 ：在数据集内表示的群体与机器学习模型要进行预测的群体不符。 抽样偏差 ：数据不是从目标群体中随机收集的。 未回答偏差 （也称为 参与偏差 ）：某些群体中的用户以不同于其他群体中的用户的比率选择不参加调查问卷。

例如，假设您要创建一个机器学习模型来预测人们对电影的满意程度。为了收集训练数据，您向上映该电影的影院第一排的每个人发一份调查问卷。不假思索地话，这听起来像是收集数据集的合理方式，但是，这种数据收集方式可能会引入以下形式的选择偏差：

覆盖偏差：通过从选择观看电影的人群中采样，您的模型预测可能不会泛化到那些对电影的兴趣尚未到达观看地步的人。 抽样偏差：您仅对第一排的观众进行抽样，而不是从预期群体（影院中的所有观众）进行随机抽样。坐在第一排的观众可能比坐在其他排的观众对电影更感兴趣。 未回答偏差：通常，相比具有温和观点的人，具有强烈观点的人倾向于更频繁地回答可选调查问卷。由于电影调查问卷是可选的，因此回复更有可能形成 双峰分布 ，而不是正态（钟形）分布。"
自注意力（也称为自注意力层）,"一种神经网络层，可将嵌入序列（例如， 令牌 嵌入）转换为另一个嵌入序列。输出序列中的每个嵌入都是通过 注意力 机制整合输入序列元素的信息来构建的。

自注意力 中的“自”是指序列关注自身，而不是其他上下文。 自注意力机制是 Transformer 的主要构建块之一，并使用字典查找术语，例如“查询”“键”和“值”。

自注意力层从一系列输入表示开始，每个字词对应一个输入表示。字词的输入表示可以是简单的嵌入。对于输入序列中的每个字词，网络会评估该字词与整个字词序列中每个元素的相关性。相关性得分决定了字词的最终表示形式在多大程度上纳入其他字词的表示形式。

例如，请看以下句子：

下图（来自 Transformer：一种用于语言理解的新型神经网络架构 ）显示了代词 it 的自注意力层注意力模式，其中每条线的深浅程度表示每个字词对表示的贡献程度：

自注意力层会突出显示与“it”相关的字词。在这种情况下，注意力层已学会突出显示 it 可能指代的字词，并将最高权重分配给 animal 。

对于包含 n 个 令牌 的序列，自注意力机制会分别在序列中的每个位置对嵌入序列进行 n 次转换。

另请参阅 注意力 和 多头自注意力 。"
自监督式学习,"一类将 非监督式机器学习 问题转换为 监督式机器学习 问题的技术，通过从 无标签示例 创建替代 标签 来实现。

一些基于 Transformer 的模型（例如 BERT ）使用自监督式学习。

自监督训练是一种 半监督式学习 方法。"
自训练,"一种 自监督学习 的变体，在满足以下所有条件时特别有用：

数据集中的 未加标签的示例 与 已加标签的示例 的比率较高。 这是一个 分类 问题。

自训练通过迭代执行以下两个步骤来运行，直到模型不再改进：

使用 监督式机器学习 基于有标签的示例训练模型。 使用在第 1 步中创建的模型对无标签示例生成预测（标签），并将置信度高的示例移至有标签示例中，并附上预测的标签。

请注意，第 2 步的每次迭代都会为第 1 步添加更多带标签的示例以供训练。"
半监督式学习,"基于部分训练示例有标签而其他训练示例没有标签的数据来训练模型。半监督式学习的一种方法是推断未添加标签的示例的标签，然后根据推断出的标签进行训练，以创建新模型。如果获得有标签样本需要高昂的成本，而无标签样本则有很多，那么半监督式学习将非常有用。

自训练 是半监督式学习的一种方法。"
情感分析,"使用统计算法或机器学习算法确定群体对某个服务、产品、组织或主题的整体态度（积极或消极）。例如，使用 自然语言理解 ，这种算法会通过对某大学课程的文字反馈进行情感分析，从而确定学生在多大程度上普遍喜欢或不喜欢该课程。

如需了解详情，请参阅 文本分类 指南。"
序列模型,输入具有序列依赖性的模型。例如，根据之前观看过的一系列视频对观看的下一个视频进行预测。
序列到序列任务,"一种将输入词法单元序列（ 词法单元 ）转换为输出词法单元序列的任务。例如，两种常见的序列到序列任务是：

翻译人员： 输入序列示例：“我爱你。” 输出序列示例：“Je t'aime.” 问答： 输入序列示例：“我在纽约市需要开车吗？” 输出序列示例：“No. Keep your car at home.”"
人份,使训练好的模型能够通过 在线推理 或 离线推理 提供预测结果的过程。
形状（张量）(shape (Tensor)),"张量的每个 维度 中的元素数量。形状以整数列表表示。例如，以下二维张量的形状为 [3,4]：

TensorFlow 使用行优先（C 样式）格式来表示维度的顺序，因此 TensorFlow 中的形状为 [3,4] 而不是 [4,3] 。换句话说，在二维 TensorFlow 张量中，形状为 [ 行数 、 列数 ] 。

静态形状 是指在编译时 已知 的张量形状。

动态形状 在编译时是 未知 的，因此取决于运行时数据。此张量在 TensorFlow 中可能以占位维度表示，如 [3, ?] 中所示。"
分片,"训练集 或 模型 的逻辑划分。通常，某个进程会通过将 示例 或 参数 划分为（通常）大小相等的块来创建分片。然后，每个分片都会分配给不同的机器。

对模型进行分片称为 模型并行 ；对数据进行分片称为 数据并行 。"
收缩,一种梯度提升 中的 超参数 ，用于控制 过拟合 。梯度提升中的收缩率类似于 梯度下降法 中的 学习速率 。收缩率是介于 0.0 到 1.0 之间的小数值。与较大的收缩值相比，较小的收缩值可更有效地减少过拟合。
并排评估,"通过判断两个模型对 同一提示 的 回答 来比较这两个模型的质量。例如，假设向两个 不同的模型 提供以下提示：

在并排比较评估中，评估人员会选择哪张图片“更好”（更准确？更美观？更可爱？）。"
S 型函数,"一种将输入值“挤压”到有限范围（通常为 0 到 1 或 -1 到 +1）的数学函数。也就是说，您可以向 sigmoid 函数传递任何数字（2、100 万、负 10 亿，等等），输出结果仍会在限定范围内。
Sigmoid 激活函数的图如下所示：

Sigmoid 函数在机器学习中有多种用途，包括：

将 逻辑回归 模型或 多项式回归 模型的原始输出转换为概率。 在某些神经网络中充当 激活函数 。"
相似度度量,在 聚类 算法中，用于确定任何两种样本相似程度的指标。
单程序 / 多数据 (SPMD),一种并行处理技术，可在不同设备上并行运行相同的计算，但使用不同的输入数据。SPMD 的目标是更快地获得结果。这是最常见的并行编程风格。
缩放不变性,"在图像分类问题中，即使图像大小发生变化，算法仍能成功对图像进行分类的能力。例如，无论猫的像素数为 200 万还是 20 万，该算法仍然可以识别它。请注意，即使是最好的图片分类算法，在尺寸不变性方面也仍存在实际限制。例如，对于仅以 20 像素呈现的猫图像，算法（或人）不可能正确对其进行分类。

另请参阅 平移不变性 和 旋转不变性 。

如需了解详情，请参阅 聚类分析课程 。"
粗略分析,"在 非监督式机器学习 中，一类算法针对样本执行初步相似性分析。粗略分析算法使用 局部敏感哈希函数 确定有可能相似的点，然后将这些点分组到桶中。

粗略分析减少了计算大型数据集相似性所需的计算量。我们仅计算每个桶中的每对点的相似性，而不是计算数据集内每对样本的相似性。"
skip-gram,"一种 n 元语法 ，可能会省略（或“跳过”）原始上下文中的字词，这意味着 N 个字词最初可能并不相邻。更准确地说，“k-skip-n-gram”是指最多跳过 k 个字的 n-gram。

例如，“the quick brown fox”具有以下可能的 2-gram：

""the quick"" “quick brown” “brown fox”

“1-skip-2-gram”是指两个字词之间最多间隔 1 个字词。因此，“the quick brown fox”的 1-skip 2-gram 如下：

“the brown” “quick fox”

此外，所有 2 元语法 也 都是 1-skip-2-gram，因为跳过的字词数可能少于一个。

Skip-gram 有助于了解单词周围的更多上下文。
在示例中，“fox”在 1-skip-2-gram 集中直接与“quick”相关联，但在 2-gram 集中并非如此。

Skip-gram 有助于训练 词嵌入 模型。"
softmax,"一种函数，可确定 多类别分类模型 中每个可能类别的概率。这些概率之和正好为 1.0。例如，下表显示了 softmax 如何分布各种概率：

Softmax 也称为 完整版 softmax 。

与 候选采样 相对。

如需了解详情，请参阅机器学习速成课程中的 神经网络：多类别分类 。"
软提示调优,"一种用于针对特定任务调整 大语言模型 的技术，无需资源密集型 微调 。与重新训练模型中的所有 权重 不同，软提示调整会自动调整 提示 ，以实现相同的目标。

在给定文本提示的情况下，软提示调整通常会将额外的令牌嵌入附加到提示中，并使用反向传播来优化输入。

“硬”提示包含实际的令牌，而不是令牌嵌入。"
稀疏特征,"一种值主要为零或为空的 特征 。
例如，包含一个 1 值和一百万个 0 值的特征就是稀疏特征。相比之下， 密集特征 的值大多不为零或为空。

在机器学习中，令人惊讶的是，有大量特征是稀疏特征。分类特征通常是稀疏特征。例如，在森林中可能存在的 300 种树木中，单个示例可能仅标识出 枫树 。或者，在视频库中数百万个可能的视频中，单个示例可能仅标识“卡萨布兰卡”。

在模型中，您通常使用 独热编码 来表示稀疏特征。如果独热编码很大，您可以在独热编码之上放置一个 嵌入层 ，以提高效率。"
稀疏表示法,"仅存储稀疏特征中非零元素的位置。

例如，假设某个名为 species 的分类特征用于标识特定森林中的 36 种树木。进一步假设每个 示例 仅标识一个物种。

您可以使用 one-hot 向量来表示每个示例中的树种。独热向量将包含一个 1 （表示该示例中的特定树种）和 35 个 0 （表示该示例中 不 存在的 35 个树种）。因此， maple 的独热表示法可能如下所示：

或者，稀疏表示法只会识别特定物种的位置。如果 maple 位于位置 24，则 maple 的稀疏表示法将仅为：

请注意，稀疏表示法比 one-hot 表示法紧凑得多。

如需了解详情，请参阅机器学习速成课程中的 处理分类数据 。"
稀疏向量,值大部分为零的向量。另请参阅 稀疏特征 和 稀疏度 。
稀疏性,"向量或矩阵中设置为零（或 null）的元素数量除以该向量或矩阵中的条目总数。例如，假设有一个包含 100 个元素的矩阵，其中 98 个单元格包含零。稀疏度的计算方法如下：

特征稀疏性 是指特征向量的稀疏性； 模型稀疏性 是指模型权重的稀疏性。"
空间 pooling,请参阅 pooling 。
规范编码,"以人类语言（例如英语）编写和维护描述软件的文件的过程。然后，您可以让生成式 AI 模型或其他软件工程师创建符合该说明的软件。

自动生成的代码通常需要迭代。在规范化编码中，您需要迭代说明文件。相比之下，在 对话式编码 中，您可以在提示框中进行迭代。在实践中，自动代码生成有时会涉及规范化编码和对话式编码的 组合 。"
拆分,在 决策树 中， 条件 的另一种名称。
分割器,在训练 决策树 时，负责在每个 节点 上找到最佳 条件 的例程（和算法）。
SPMD,单程序 / 多数据 的缩写。
SQuAD,"斯坦福问答数据集 的英文缩写，该数据集在论文《SQuAD：100,000+ 个用于机器理解文本的问题》 中首次提出。此数据集中的问题来自针对维基百科文章提出问题的人。SQuAD 中的某些问题有答案，但其他问题故意没有答案。因此，您可以使用 SQuAD 来评估 LLM 在以下两方面的能力：

回答 可以 回答的问题。 确定 无法 回答的问题。

完全匹配 与 F 1 结合使用是针对 SQuAD 评估 LLM 的最常用指标。"
平方合页损失函数,合页损失函数 的平方。与常规合页损失相比，平方合页损失对离群值的惩罚更严厉。
平方损失函数,与 L 2 损失 的含义相同。
分阶段训练,"一种以一系列离散阶段训练模型的策略。目标可以是加快训练过程，也可以是实现更好的模型质量。

下图展示了渐进式堆叠方法：

阶段 1 包含 3 个隐藏层，阶段 2 包含 6 个隐藏层，阶段 3 包含 12 个隐藏层。 第 2 阶段开始使用第 1 阶段 3 个隐藏层中学习到的权重进行训练。第 3 阶段开始训练，使用在第 2 阶段的 6 个隐藏层中学习到的权重。

另请参阅 流水线 。"
州,在强化学习中，描述环境当前配置的形参值， 智能体 使用这些形参值来选择 动作 。
状态-动作值函数,与 Q 函数 的含义相同。
静态,"一次性完成，而不是持续完成。
术语“static”（静态）和“offline”（离线）是同义词。 以下是机器学习中 静态 和 离线 的常见用途：

静态模型 （或 离线模型 ）是一种只训练一次然后使用一段时间的模型。 静态训练 （或 离线训练 ）是指训练静态模型的过程。 静态推理 （或 离线推理 ）是指模型一次生成一批预测结果的过程。

与 动态 相对。"
静态推理,与 离线推理 的含义相同。
平稳性,"一种特征，其值在一个或多个维度（通常是时间）上不会发生变化。
例如，如果某个特征在 2021 年和 2023 年的值看起来大致相同，则该特征表现出平稳性。

在现实世界中，很少有特征表现出平稳性。即使是与稳定性同义的特征（例如海平面）也会随时间变化。

与 非平稳性 相对。"
步骤,"一次前向传递和一次后向传递，处理一个 批次 。

如需详细了解前向传递和反向传递，请参阅 反向传播 。"
步长,与 学习速率 的含义相同。
随机梯度下降法 (SGD),"一种 梯度下降 算法，其中 批次大小 为 1。换句话说，SGD 会基于从 训练集 中随机均匀选择的单个样本进行训练。

如需了解详情，请参阅机器学习速成课程中的 线性回归：超参数 。"
步长,"在卷积运算或池化中，下一系列输入切片的每个维度中的增量。例如，以下动画演示了卷积运算期间的 (1,1) 步幅。因此，下一个输入切片从上一个输入切片右侧的一个位置开始。当操作到达右边缘时，下一个切片会一直向左移动，但会向下移动一个位置。

上例演示了二维步幅。如果输入矩阵为三维，那么步长也将是三维。"
结构风险最小化 (SRM),"一种平衡以下两个目标的算法：

需要构建最具预测性的模型（例如损失最低）。 需要使模型尽可能简单（例如强大的正则化）。

例如，旨在将基于训练集的损失和正则化降至最低的函数就是一种结构风险最小化算法。

与 经验风险最小化 相对。"
下采样,请参阅 pooling 。
子词令牌,"在 语言模型 中， 词元 是字词的子字符串，也可能是整个字词。

例如，“itemize”这样的字词可能会被拆分为“item”（词根）和“ize”（后缀），每个部分都由自己的令牌表示。将不常见的字词拆分为称为子字的片段，可让语言模型处理字词中更常见的组成部分，例如前缀和后缀。

相反，“going”等常用字词可能不会被拆分，而是由单个令牌表示。"
摘要,在 TensorFlow 中的某一 步 计算出的一个值或一组值，通常用于在训练期间跟踪模型指标。
监督式机器学习,"使用 特征 及其对应的 标签 训练 模型 。监督式机器学习类似于通过研究一系列问题及其对应的答案来学习某个知识。在掌握了问题与答案之间的映射关系后，学生就可以回答同一主题的新问题（从未见过的问题）。

与 非监督式机器学习 相对。

如需了解详情，请参阅机器学习简介课程中的 监督式学习 。"
合成特征,"一种 特征 ，不在输入特征之列，而是从一个或多个输入特征组装而来。用于创建合成特征的方法包括：

对连续特征进行 分桶 ，以分为多个区间分箱。 创建 特征组合 。 将一个特征值与其他特征值或其本身相乘（或相除）。例如，如果 a 和 b 是输入特征，则以下是合成特征的示例： ab a 2 对特征值应用超越函数。例如，如果 c 是输入特征，则以下是合成特征的示例： sin(c) ln(c)

仅通过 归一化 或 缩放 创建的特征不属于合成特征。"
T5,"Google AI 于 2020 年推出的文本到文本 迁移学习 模型 。 T5 是一种基于 Transformer 架构的 编码器 - 解码器 模型，经过极大型数据集的训练。它在各种自然语言处理任务（例如生成文本、翻译语言和以对话方式回答问题）方面表现出色。

T5 的名称源自“Text-to-Text Transfer Transformer”（文本到文本转换 Transformer）中的五个字母“T”。"
T5X,一个开源 机器学习 框架，旨在构建和 训练 大规模自然语言处理 (NLP) 模型。 T5 是在 T5X 代码库（基于 JAX 和 Flax 构建）上实现的。
表格 Q-learning,在 强化学习 中，通过使用表格存储每个 状态 和 动作 组合的 Q 函数 来实现 Q 学习 。
目标,与 标签 的含义相同。
目标广告网络,在 深度 Q 学习 中，神经网络是主要神经网络的稳定近似值，其中主要神经网络实现 Q 函数 或 政策 。然后，您可以根据目标网络预测的 Q 值来训练主网络。因此，您可以防止主网络根据自身预测的 Q 值进行训练时出现的反馈循环。通过避免这种反馈，训练稳定性得以提高。
任务,"可以使用机器学习技术解决的问题，例如：

分类 回归 聚类 异常值检测"
温度,"一种 超参数 ，用于控制模型输出的随机程度。温度越高，输出就越随机；温度越低，输出就越不随机。

选择最佳温度取决于具体应用和/或字符串值。"
时态数据,在不同时间点记录的数据。例如，一年中每天记录的冬季外套销售数据就是时间数据。
Tensor,TensorFlow 程序中的主要数据结构。张量是 N 维（其中 N 可能非常大）数据结构，最常见的是标量、向量或矩阵。张量的元素可以包含整数值、浮点值或字符串值。
TensorBoard,一个信息中心，用于显示在执行一个或多个 TensorFlow 程序期间保存的总结信息。
TensorFlow,"一个大型的分布式机器学习平台。该术语还指 TensorFlow 堆栈中的基础 API 层，它支持对数据流图进行一般计算。

虽然 TensorFlow 主要用于机器学习，但您也可以将 TensorFlow 用于需要使用数据流图进行数值计算的非机器学习任务。"
TensorFlow Playground,"一款程序，用于可视化不同的 超参数 对模型（主要是神经网络）训练的影响。
如需试用 TensorFlow Playground，请前往 http://playground.tensorflow.org 。"
TensorFlow Serving,一个平台，用于将训练过的模型部署到生产环境。
张量处理单元 (TPU),一种应用专用集成电路 (ASIC)，用于优化机器学习工作负载的性能。这些 ASIC 作为 TPU 设备 上的多个 TPU 芯片 进行部署。
张量的阶,请参阅 秩（张量） 。
张量形状,"Tensor 在各种维度中包含的元素数。
例如，一个 [5, 10] 张量在一个维度上的形状为 5，在另一个维度上的形状为 10。"
张量大小,"Tensor 包含的标量总数。例如， [5, 10] 张量的大小为 50。"
TensorStore,用于高效读取和写入大型多维数组的 库 。
终止条件,"在 强化学习 中，用于确定 情节 何时结束的条件，例如智能体何时达到某种状态或超过状态转换的阈值数量。
例如，在 井字棋 （也称为圈叉棋）中，当一名玩家标记了三个连续的空格或所有空格都被标记时，一集就会结束。"
test,在 决策树 中， 条件 的另一种名称。
测试损失,"一种表示模型针对 测试集 的 损失 的 指标 。在构建 模型 时，您通常会尝试最大限度地减少测试损失。这是因为，与较低的 训练损失 或较低的 验证损失 相比，较低的测试损失是更强的质量信号。

测试损失与训练损失或验证损失之间的差距过大有时表明，您需要提高 正则化率 。"
测试集,"数据集 中预留用于测试已训练 模型 的子集。

传统上，您需要将数据集中的示例划分为以下三个不同的子集：

训练集 验证集 测试集

数据集中的每个示例都应仅属于上述子集之一。
例如，单个样本不应同时属于训练集和测试集。

训练集和验证集都与模型训练密切相关。由于测试集仅与训练间接相关联，因此与 训练损失 或 验证损失 相比， 测试损失 是一种偏差更小、质量更高的指标。

如需了解详情，请参阅机器学习速成课程中的 数据集：划分原始数据集 。"
文本 span,"与文本字符串的特定子部分相关联的数组索引范围。例如，Python 字符串 s=""Be good now"" 中的字词 good 占据了从 3 到 6 的文本范围。"
tf.Example,一种标准 协议缓冲区 ，旨在描述用于机器学习模型训练或推断的输入数据。
tf.keras,集成到 TensorFlow 中的 Keras 实现。
阈值（适用于决策树）,"在 轴对齐条件 中， 特征 要比较的值。例如，在以下条件中，75 是阈值：

如需了解详情，请参阅决策森林课程中的 使用数值特征进行二元分类的精确分割器 。"
时序分析,机器学习和统计学的一个子领域，旨在分析 时态数据 。许多类型的机器学习问题都需要进行时间序列分析，包括分类、聚类、预测和异常值检测。例如，您可以利用时间序列分析根据历史销量数据预测未来每月的冬外套销量。
时间步长,"循环神经网络 中的一个“展开”的单元格。
例如，下图显示了三个时间步（带有下标 t-1、t 和 t+1）："
token,"在 语言模型 中，模型训练和进行预测的最小单位。令牌通常是以下各项之一：

一个字词 - 例如，短语“dogs like cats”包含三个字词标记：“dogs”“like”和“cats”。 一个字符 - 例如，短语“bike fish”包含 9 个字符令牌。（请注意，空格也算作一个令牌。） 子字词 - 其中，单个字词可以是单个 token，也可以是多个 token。
子字词由词根、前缀或后缀组成。例如，使用子字词作为词元的语言模型可能会将“dogs”一词视为两个词元（词根“dog”和复数后缀“s”）。同一语言模型可能会将“taller”一词视为两个子字词（词根“tall”和后缀“er”）。

在语言模型之外的网域中，词元可以表示其他类型的原子单元。例如，在计算机视觉中，词元可能是图片的一部分。

如需了解详情，请参阅机器学习速成课程中的 大型语言模型 。"
tokenizer,"一种将输入数据序列转换为 令牌 的系统或算法。

大多数现代 基础模型 都是 多模态 的。多模态系统的分词器必须将每种输入类型转换为适当的格式。例如，如果输入数据同时包含文本和图形，分词器可能会将输入文本转换为子字词，并将输入图片转换为小块。
然后，分词器必须将所有词元转换为一个统一的嵌入空间，使模型能够“理解”多模态输入流。"
Top-k 准确率,"“目标标签”在生成列表的前 k 个位置中出现的次数所占的百分比。这些列表可以是个性化推荐，也可以是按 softmax 排序的商品列表。

Top-k 准确率也称为 k 准确率 。"
塔,深度神经网络 的一个组成部分，本身也是一个深度神经网络。在某些情况下，每个塔都从独立的数据源读取数据，并且这些塔在最终层中合并输出之前保持独立。在其他情况下（例如，在许多 Transformer 的 编码器 和 解码器 塔中），塔之间存在交叉连接。
恶意,内容具有侮辱性、威胁性或冒犯性的程度。许多机器学习模型都可以识别和衡量有害内容。这些模型大多会根据多个参数（例如滥用语言的程度和威胁性语言的程度）来识别有害内容。
TPU,张量处理单元 的缩写。
TPU 芯片,一种可编程的线性代数加速器，具有片上高带宽内存，针对机器学习工作负载进行了优化。多个 TPU 芯片部署在 TPU 设备 上。
TPU 设备,一种印刷电路板 (PCB)，包含多个 TPU 芯片 、高带宽网络接口和系统冷却硬件。
TPU 节点,Google Cloud 上具有特定 TPU 类型 的 TPU 资源。TPU 节点从 对等 VPC 网络 连接到您的 VPC 网络 。TPU 节点是 Cloud TPU API 中定义的一种资源。
TPU Pod,Google 数据中心内 TPU 设备 的特定配置。TPU Pod 中的所有设备都通过专用高速网络相互连接。TPU Pod 是特定 TPU 版本可用的最大 TPU 设备 配置。
TPU 资源,您在 Google Cloud 上创建、管理或使用的 TPU 实体。例如， TPU 节点 和 TPU 类型 是 TPU 资源。
TPU 切片,TPU 切片是 TPU Pod 中 TPU 设备 的一部分。TPU 切片中的所有设备都通过专用高速网络相互连接。
TPU 类型,一种配置，包含一个或多个具有特定 TPU 硬件版本的 TPU 设备 。在 Google Cloud 上创建 TPU 节点 时，您需要选择 TPU 类型。例如， v2-8 TPU 类型是具有 8 个核心的单个 TPU v2 设备。 v3-2048 TPU 类型具有 256 个联网的 TPU v3 设备，总共有 2048 个核心。TPU 类型是 Cloud TPU API 中定义的资源。
TPU 工作进程,在主机上运行并在 TPU 设备 上执行机器学习程序的进程。
训练,"确定构成 模型 的理想 参数 （权重和偏差）的过程。在训练期间，系统会读入 个示例 ，并逐步调整参数。训练会使用每个示例几次到数十亿次不等。

如需了解详情，请参阅机器学习简介课程中的 监督式学习 。"
训练损失,"一种 指标 ，表示模型在特定训练迭代期间的 损失 。例如，假设损失函数为 均方误差 。例如，第 10 次迭代的训练损失（均方误差）为 2.2，第 100 次迭代的训练损失为 1.9。

损失曲线 绘制的是训练损失与迭代次数的关系图。损失曲线可提供以下有关训练的提示：

下降的斜率表示模型正在改进。 向上倾斜表示模型效果越来越差。 平坦的斜率表示模型已达到 收敛 。

例如，以下有些理想化的 损失曲线 显示：

初始迭代期间的陡峭下降斜率，表示模型改进速度很快。 斜率逐渐变平缓（但仍向下），直到接近训练结束时，这表示模型仍在不断改进，但速度比初始迭代期间略慢。 训练结束时斜率趋于平缓，表明模型已收敛。

虽然训练损失很重要，但另请参阅 泛化 。"
训练-应用偏差,模型在 训练 期间的性能与同一模型在 应用 期间的性能之间的差异。
训练集,"用于训练 模型 的 数据集 子集。

传统上，数据集中的示例分为以下三个不同的子集：

训练集 验证集 测试集

理想情况下，数据集中的每个示例都应仅属于上述子集之一。例如，单个示例不应同时属于训练集和验证集。

如需了解详情，请参阅机器学习速成课程中的 数据集：划分原始数据集 。"
轨迹,在 强化学习 中， 元组 序列表示 智能体 的 状态 转换序列，其中每个元组对应于给定状态转换的状态、 动作 、 奖励 和下一个状态。
迁移学习,"将信息从一个机器学习任务转移到另一个机器学习任务。
例如，在多任务学习中，一个模型可以完成多项任务，例如针对不同任务具有不同输出节点的 深度模型 。迁移学习可能涉及将知识从较简单任务的解决方案迁移到较复杂的任务，或者涉及将知识从数据较多的任务迁移到数据较少的任务。

大多数机器学习系统都只解决 一项 任务。迁移学习是迈向人工智能的一小步，它使单个程序能够解决 多项 任务。"
Transformer,"Google 开发的一种 神经网络 架构，它依赖于 自注意力 机制将输入嵌入序列转换为输出嵌入序列，而无需依赖于 卷积 或 循环神经网络 。Transformer 可以视为自注意力层的堆栈。

Transformer 可以包含以下任何内容：

编码器 解码器 编码器和解码器

编码器 将嵌入序列转换为长度相同的新序列。编码器包含 N 个相同的层，每个层包含两个子层。这两个子层应用于输入嵌入序列的每个位置，将序列的每个元素转换为新的嵌入。第一个编码器子层会汇总整个输入序列中的信息。第二个编码器子层将汇总的信息转换为输出嵌入。

解码器 将输入嵌入序列转换为输出嵌入序列，后者的长度可能与前者不同。解码器还包含 N 个相同的层，这些层具有三个子层，其中两个子层与编码器子层类似。第三个解码器子层会获取编码器的输出，并应用 自注意力 机制从中收集信息。

博文 语言理解领域的新型神经网络架构：Transformer 很好地介绍了 Transformer。

如需了解详情，请参阅机器学习速成课程中的 LLM：什么是大语言模型？ 。"
平移不变性,"在图像分类问题中，即使图像中对象的位置发生变化，算法也能成功对图像进行分类的能力。
例如，无论一只狗位于画面正中央还是画面左侧，该算法仍然可以识别它。

另请参阅 缩放不变性 和 旋转不变性 。"
三元语法,一种 N 元语法 ，其中 N=3。
真负例 (TN),模型 正确 预测为 负类别 的示例。例如，模型推断出某封电子邮件 不是垃圾邮件 ，而该电子邮件确实 不是垃圾邮件 。
真正例 (TP),模型 正确 预测了 正类别 的示例。例如，模型推断出某封电子邮件是垃圾邮件，而该电子邮件确实是垃圾邮件。
真正例率 (TPR),"与 召回率 的含义相同。具体来说：

真正例率是 ROC 曲线 的 y 轴。"
TTL,存留时间 的缩写。
Ultra,"具有最多 形参 的 Gemini 模型 。
如需了解详情，请参阅 Gemini Ultra 。

另请参阅 Pro 和 Nano 。"
无感知（对于敏感属性）,存在 敏感属性 ，但未包含在训练数据中。由于敏感属性通常与数据的其他属性相关联，因此即使模型在训练时不知道某个敏感属性，仍可能在该属性方面产生 差异化影响 ，或者违反其他 公平性限制 。
欠拟合,"生成具有较差预测能力的 模型 ，因为模型未完全发现训练数据的特征。许多问题都可能导致欠拟合，包括：

用错误的 特征 集进行训练。 训练 周期 过少或 学习速率 过低。 以过高的 正则化率 进行训练。 深度神经网络中包含的 隐藏层 过少。

如需了解详情，请参阅机器学习速成课程中的 过拟合 。"
欠采样,"从 分类不平衡的数据集 中的 多数类 中移除 样本 ，以创建更平衡的 训练集 。

例如，假设某个数据集中多数类与 少数类 的比率为 20:1。为了克服这种类别不平衡问题，您可以创建一个训练集，其中包含 所有 少数类别的示例，但只包含 十分之一 的多数类别示例，这样就可以创建 2:1 的训练集类别比率。得益于欠采样，这个更加平衡的训练集可能会生成更好的模型。或者，这个更平衡的训练集可能包含的示例不足以训练出有效的模型。

与 过采样 相对。"
单向,"一种仅评估目标文本部分 之前 的文本的系统。
相比之下，双向系统会评估目标文本部分 之前 和 之后 的文本。如需了解详情，请参阅 双向 。"
单向语言模型,一种 语言模型 ，其概率仅基于目标 token 之前 （而非 之后 ）出现的 token 。与 双向语言模型 相对。
